name,price,category_id
Las aventuras de peter pan,65,2
Microondas Samsung,89,6
Cortadora de césped Honda,91,6
Guitarra Fender Stratocaster,6,6
Tablet Samsung Galaxy,95,10
Patines en línea Rollerblade,36,8
Proyector Epson,68,4
Libro de cocina italiana,54,9
Licuadora Oster,20,2
Iphone 7,11,7
Consola Xbox Series X,33,10
Cortadora de césped Honda,38,9
Laptop Dell,70,8
Cortadora de césped Honda,55,5
Tablet Samsung Galaxy,97,3
"Monitor ASUS 27""",75,2
Lavadora Bosch,63,1
Cortadora de césped Honda,52,4
Cámara de seguridad Ring,83,9
Consola Xbox Series X,48,2
Cámara Canon,4,9
Consola Xbox Series X,33,5
Patines en línea Rollerblade,91,5
Proyector Epson,79,6
Iphone 7,37,7
Cámara de seguridad Ring,21,4
Reloj Casio G-Shock,49,1
Proyector Epson,42,7
Aire acondicionado Mitsubishi,34,7
Audífonos Bose,19,5
Proyector Epson,20,6
Cafetera Nespresso,86,8
Patines en línea Rollerblade,85,3
Proyector Epson,98,9
Las aventuras de peter pan,70,7
Licuadora Oster,92,8
Microondas Samsung,35,7
Taladro Bosch,13,8
Impresora HP,2,2
Proyector Epson,89,2
Aire acondicionado Mitsubishi,92,8
Tablet Samsung Galaxy,88,2
Tablet Samsung Galaxy,2,3
Consola Xbox Series X,92,7
Horno,62,7
GPU Nvidia,36,1
Consola Xbox Series X,11,3
Audífonos Bose,36,1
Iphone 7,64,4
Guitarra Fender Stratocaster,46,9
Reloj Casio G-Shock,51,4
Horno,70,9
Guitarra Fender Stratocaster,68,9
"Monitor ASUS 27""",78,6
Las aventuras de peter pan,3,9
Frigorífico Whirlpool,25,7
Audífonos Bose,31,7
Las aventuras de peter pan,83,6
Batidora KitchenAid,98,6
Horno,45,3
Horno,59,7
Impresora HP,64,9
Lavadora Bosch,52,5
Pantalon Jean,57,2
Aire acondicionado Mitsubishi,84,3
Lavadora Bosch,15,8
Guitarra Fender Stratocaster,85,10
Audífonos Bose,89,8
Frigorífico Whirlpool,87,9
Tablet Samsung Galaxy,61,7
TV LG,8,2
Guitarra Fender Stratocaster,44,8
Altavoz inteligente Alexa,39,6
Proyector Epson,92,5
TV LG,68,10
Pantalon Jean,68,8
Tablet Samsung Galaxy,79,6
Batidora KitchenAid,62,7
Router Wi-Fi TP-Link,30,10
Microondas Samsung,33,10
Impresora HP,72,2
Microondas Samsung,20,1
Altavoz inteligente Alexa,93,6
Batidora KitchenAid,14,2
Barra de sonido Sony,86,7
Las aventuras de peter pan,46,8
Smartwatch Apple,64,9
Despertador digital Philips,21,10
Aire acondicionado Mitsubishi,22,9
Despertador digital Philips,65,7
"Monitor ASUS 27""",24,10
Reloj Casio G-Shock,95,3
Patines en línea Rollerblade,52,9
Tablet Samsung Galaxy,90,8
Zapatos deportivos Nike,39,7
Altavoz inteligente Alexa,17,4
Altavoz inteligente Alexa,58,1
GPU Nvidia,60,6
Frigorífico Whirlpool,88,4
Cámara de seguridad Ring,59,9
Las aventuras de peter pan,88,8
Iphone 7,63,2
Cafetera Nespresso,76,4
Microondas Samsung,48,7
Libro de cocina italiana,17,2
TV LG,91,6
TV LG,35,4
Cámara de seguridad Ring,43,6
Smartwatch Apple,29,1
Silla ergonómica,23,4
Barra de sonido Sony,1,3
Licuadora Oster,8,3
Consola Xbox Series X,32,6
Proyector Epson,8,10
Consola Xbox Series X,43,2
Taladro Bosch,91,8
Barra de sonido Sony,58,6
Router Wi-Fi TP-Link,9,7
Laptop Dell,53,8
Router Wi-Fi TP-Link,18,6
Tablet Samsung Galaxy,34,5
Laptop Dell,9,7
Guitarra Fender Stratocaster,73,5
Libro de cocina italiana,65,1
Teclado mecánico Logitech,96,8
Reloj Casio G-Shock,95,3
Impresora HP,75,7
Proyector Epson,29,3
Cafetera Nespresso,79,5
Pantalon Jean,30,9
Bicicleta de montaña,92,4
Router Wi-Fi TP-Link,90,7
Zapatos deportivos Nike,43,10
Cámara Canon,10,4
Impresora HP,19,3
GPU Nvidia,44,4
Barra de sonido Sony,85,10
Silla ergonómica,20,1
Impresora HP,93,4
Teclado mecánico Logitech,35,5
Teclado mecánico Logitech,24,2
Frigorífico Whirlpool,27,5
Batidora KitchenAid,67,10
Tablet Samsung Galaxy,19,6
Cámara Canon,39,1
Laptop Dell,71,1
Taladro Bosch,95,5
Router Wi-Fi TP-Link,62,1
GPU Nvidia,23,2
GPU Nvidia,28,7
Impresora HP,22,5
Consola Xbox Series X,51,5
Freidora de aire Philips,49,1
Patines en línea Rollerblade,30,6
Freidora de aire Philips,14,9
Microondas Samsung,98,5
Iphone 7,81,2
Bicicleta de montaña,14,1
Batidora KitchenAid,50,4
Barra de sonido Sony,52,7
Reloj Casio G-Shock,28,8
Tensiometro,55,5
Cafetera Nespresso,38,1
Cafetera Nespresso,13,4
Microondas Samsung,6,6
Las aventuras de peter pan,2,4
Despertador digital Philips,86,4
Silla ergonómica,81,7
"Monitor ASUS 27""",76,10
Horno,10,1
Zapatos deportivos Nike,82,5
Cámara de seguridad Ring,20,1
TV LG,31,10
Aire acondicionado Mitsubishi,92,4
Consola Xbox Series X,12,2
Altavoz inteligente Alexa,5,2
Audífonos Bose,72,7
Aire acondicionado Mitsubishi,20,3
Cortadora de césped Honda,81,8
Guitarra Fender Stratocaster,6,10
Taladro Bosch,67,10
Tablet Samsung Galaxy,84,7
Patines en línea Rollerblade,61,5
Audífonos Bose,19,6
Microondas Samsung,66,9
Tablet Samsung Galaxy,20,5
Frigorífico Whirlpool,7,2
Tocadiscos clasico,42,10
Freidora de aire Philips,62,9
Teclado mecánico Logitech,26,10
Batidora KitchenAid,50,6
Reloj Casio G-Shock,34,3
Cámara de seguridad Ring,57,9
Barra de sonido Sony,27,8
Barra de sonido Sony,86,10
Cámara de seguridad Ring,59,9
Despertador digital Philips,10,4
Tensiometro,57,5
Proyector Epson,83,7
Audífonos Bose,10,4
Cámara Canon,65,7
Teclado mecánico Logitech,33,10
Barra de sonido Sony,90,1
GPU Nvidia,86,9
Pantalon Jean,69,5
Consola Xbox Series X,11,9
Impresora HP,64,9
Barra de sonido Sony,10,8
Horno,52,1
Reloj Casio G-Shock,58,4
Tocadiscos clasico,83,9
Frigorífico Whirlpool,40,10
Zapatos deportivos Nike,60,9
Despertador digital Philips,71,5
Reloj Casio G-Shock,78,10
Aire acondicionado Mitsubishi,63,4
Horno,14,4
Zapatos deportivos Nike,11,5
Freidora de aire Philips,97,4
GPU Nvidia,22,1
Horno,7,7
Aire acondicionado Mitsubishi,18,4
Despertador digital Philips,39,4
Horno,53,2
Audífonos Bose,56,5
Cámara Canon,72,9
Teclado mecánico Logitech,50,9
Aire acondicionado Mitsubishi,95,1
Impresora HP,85,7
Tocadiscos clasico,1,5
Batidora KitchenAid,84,10
Smartwatch Apple,12,9
Cafetera Nespresso,95,2
Audífonos Bose,88,1
Cortadora de césped Honda,87,3
Barra de sonido Sony,31,5
Despertador digital Philips,45,2
Cafetera Nespresso,74,4
"Monitor ASUS 27""",15,7
Microondas Samsung,93,7
Reloj Casio G-Shock,30,2
Silla ergonómica,63,8
Altavoz inteligente Alexa,73,1
Altavoz inteligente Alexa,20,8
"Monitor ASUS 27""",48,9
Cafetera Nespresso,79,7
Audífonos Bose,41,5
Guitarra Fender Stratocaster,30,1
Zapatos deportivos Nike,27,2
Tablet Samsung Galaxy,58,1
Despertador digital Philips,49,10
Patines en línea Rollerblade,27,4
Teclado mecánico Logitech,52,3
Licuadora Oster,63,4
Audífonos Bose,22,6
Lavadora Bosch,28,9
Audífonos Bose,6,5
Guitarra Fender Stratocaster,59,6
Tablet Samsung Galaxy,55,3
Horno,90,7
Teclado mecánico Logitech,52,7
Pantalon Jean,19,8
Las aventuras de peter pan,19,8
Microondas Samsung,67,3
Cortadora de césped Honda,71,5
Licuadora Oster,28,5
Altavoz inteligente Alexa,36,1
Freidora de aire Philips,57,2
Despertador digital Philips,47,4
Libro de cocina italiana,17,3
Guitarra Fender Stratocaster,87,7
Router Wi-Fi TP-Link,44,1
Impresora HP,92,1
Tensiometro,23,10
Iphone 7,14,6
Taladro Bosch,45,1
"Monitor ASUS 27""",57,10
Cafetera Nespresso,60,9
Taladro Bosch,8,7
Bicicleta de montaña,44,9
Freidora de aire Philips,84,1
Consola Xbox Series X,14,4
Cámara Canon,43,1
Cortadora de césped Honda,94,6
Taladro Bosch,6,8
Silla ergonómica,36,7
Barra de sonido Sony,54,9
Despertador digital Philips,93,1
Laptop Dell,51,6
Guitarra Fender Stratocaster,72,1
Consola Xbox Series X,10,1
Licuadora Oster,80,2
Pantalon Jean,77,4
Smartwatch Apple,4,5
Las aventuras de peter pan,48,1
Lavadora Bosch,2,1
Router Wi-Fi TP-Link,58,1
Router Wi-Fi TP-Link,49,9
Reloj Casio G-Shock,91,1
Taladro Bosch,2,6
Iphone 7,33,2
Cafetera Nespresso,36,9
Frigorífico Whirlpool,99,9
Smartwatch Apple,33,10
Taladro Bosch,83,7
Audífonos Bose,83,3
Iphone 7,81,10
Altavoz inteligente Alexa,24,10
Iphone 7,43,9
Audífonos Bose,90,7
Libro de cocina italiana,55,4
Silla ergonómica,5,3
Laptop Dell,37,3
Freidora de aire Philips,80,3
Cámara Canon,71,1
Audífonos Bose,88,7
Bicicleta de montaña,41,10
Patines en línea Rollerblade,32,5
GPU Nvidia,3,5
Horno,85,3
Freidora de aire Philips,95,5
Cámara Canon,32,3
Cortadora de césped Honda,30,1
Laptop Dell,83,3
Audífonos Bose,78,9
Lavadora Bosch,26,9
Cámara Canon,50,3
Silla ergonómica,65,2
Patines en línea Rollerblade,29,3
Iphone 7,45,4
"Monitor ASUS 27""",53,3
Silla ergonómica,34,10
Aire acondicionado Mitsubishi,60,4
Cortadora de césped Honda,74,2
Consola Xbox Series X,23,6
Aire acondicionado Mitsubishi,91,9
Router Wi-Fi TP-Link,39,2
GPU Nvidia,77,6
Iphone 7,49,2
Iphone 7,19,9
Licuadora Oster,78,5
Barra de sonido Sony,76,6
Cámara de seguridad Ring,65,3
Horno,1,4
Tensiometro,96,1
Aire acondicionado Mitsubishi,32,10
Cámara de seguridad Ring,16,8
Aire acondicionado Mitsubishi,1,8
Licuadora Oster,11,8
Proyector Epson,65,8
Zapatos deportivos Nike,65,6
Cafetera Nespresso,42,7
Zapatos deportivos Nike,75,8
Aire acondicionado Mitsubishi,89,6
Batidora KitchenAid,62,7
Freidora de aire Philips,92,5
Frigorífico Whirlpool,64,1
"Monitor ASUS 27""",65,9
Taladro Bosch,75,7
Despertador digital Philips,79,5
Router Wi-Fi TP-Link,88,4
Batidora KitchenAid,91,5
Patines en línea Rollerblade,80,5
Reloj Casio G-Shock,97,6
GPU Nvidia,46,9
Tablet Samsung Galaxy,94,9
Frigorífico Whirlpool,47,2
Despertador digital Philips,27,6
GPU Nvidia,62,6
Teclado mecánico Logitech,61,5
Altavoz inteligente Alexa,72,2
Horno,15,4
Barra de sonido Sony,90,9
Horno,81,10
Cámara Canon,43,7
Barra de sonido Sony,89,4
Cámara de seguridad Ring,53,10
Teclado mecánico Logitech,74,6
Zapatos deportivos Nike,21,4
Impresora HP,50,1
Tablet Samsung Galaxy,44,5
Despertador digital Philips,49,6
GPU Nvidia,63,2
Tocadiscos clasico,55,7
Silla ergonómica,95,9
Batidora KitchenAid,32,10
Proyector Epson,67,10
Licuadora Oster,21,7
Barra de sonido Sony,51,9
Audífonos Bose,62,3
Cámara de seguridad Ring,46,6
Patines en línea Rollerblade,32,3
Libro de cocina italiana,56,3
"Monitor ASUS 27""",99,7
Aire acondicionado Mitsubishi,42,3
Las aventuras de peter pan,57,4
Despertador digital Philips,43,6
Cafetera Nespresso,33,10
Altavoz inteligente Alexa,99,3
GPU Nvidia,89,6
Consola Xbox Series X,2,7
Licuadora Oster,83,2
Microondas Samsung,73,5
Cortadora de césped Honda,94,6
"Monitor ASUS 27""",67,9
Zapatos deportivos Nike,87,8
Teclado mecánico Logitech,82,5
Libro de cocina italiana,34,2
Horno,61,6
Cortadora de césped Honda,22,10
Router Wi-Fi TP-Link,76,6
Laptop Dell,97,1
Despertador digital Philips,50,9
GPU Nvidia,30,2
Zapatos deportivos Nike,73,8
Impresora HP,83,2
Licuadora Oster,36,8
Bicicleta de montaña,1,8
Barra de sonido Sony,41,7
Bicicleta de montaña,53,9
Barra de sonido Sony,18,1
Reloj Casio G-Shock,20,5
Libro de cocina italiana,70,7
Aire acondicionado Mitsubishi,44,10
Libro de cocina italiana,15,8
Cortadora de césped Honda,12,8
Bicicleta de montaña,9,2
Aire acondicionado Mitsubishi,9,8
Zapatos deportivos Nike,32,6
Tablet Samsung Galaxy,86,5
Libro de cocina italiana,4,1
Reloj Casio G-Shock,38,10
Despertador digital Philips,6,3
Cámara Canon,98,3
Lavadora Bosch,68,8
Proyector Epson,23,7
Smartwatch Apple,79,1
Las aventuras de peter pan,45,5
Microondas Samsung,92,3
Guitarra Fender Stratocaster,72,5
Proyector Epson,79,3
Iphone 7,27,6
Reloj Casio G-Shock,53,5
Router Wi-Fi TP-Link,75,9
Tensiometro,48,5
Altavoz inteligente Alexa,63,3
Despertador digital Philips,7,8
Frigorífico Whirlpool,34,7
Despertador digital Philips,29,4
Audífonos Bose,25,8
Licuadora Oster,21,7
Silla ergonómica,28,8
Proyector Epson,27,10
Licuadora Oster,24,2
Barra de sonido Sony,31,9
Reloj Casio G-Shock,29,8
Patines en línea Rollerblade,40,5
Barra de sonido Sony,78,5
Audífonos Bose,5,6
Iphone 7,30,6
Licuadora Oster,43,8
Tablet Samsung Galaxy,55,1
Bicicleta de montaña,2,8
Audífonos Bose,4,7
Silla ergonómica,28,7
Licuadora Oster,65,4
Audífonos Bose,91,4
Barra de sonido Sony,29,10
Reloj Casio G-Shock,34,5
Taladro Bosch,61,8
Frigorífico Whirlpool,34,2
Impresora HP,19,2
"Monitor ASUS 27""",95,1
Guitarra Fender Stratocaster,42,6
Cámara de seguridad Ring,10,10
Teclado mecánico Logitech,37,7
Libro de cocina italiana,57,10
Router Wi-Fi TP-Link,78,7
Silla ergonómica,51,8
Audífonos Bose,93,2
Reloj Casio G-Shock,15,4
Cámara Canon,39,2
Silla ergonómica,82,5
Smartwatch Apple,88,8
Aire acondicionado Mitsubishi,20,3
Tablet Samsung Galaxy,89,6
Lavadora Bosch,85,3
Aire acondicionado Mitsubishi,56,6
Pantalon Jean,67,10
Las aventuras de peter pan,23,4
Taladro Bosch,7,7
Barra de sonido Sony,55,2
Lavadora Bosch,18,4
Teclado mecánico Logitech,99,7
Iphone 7,11,10
Consola Xbox Series X,75,2
Smartwatch Apple,92,5
Tablet Samsung Galaxy,71,8
Frigorífico Whirlpool,63,6
Las aventuras de peter pan,80,3
Freidora de aire Philips,93,10
Despertador digital Philips,62,4
Cafetera Nespresso,17,10
Tensiometro,48,1
"Monitor ASUS 27""",32,5
Audífonos Bose,1,8
Altavoz inteligente Alexa,64,4
Smartwatch Apple,72,2
TV LG,9,9
GPU Nvidia,82,7
Taladro Bosch,1,3
Freidora de aire Philips,29,3
Reloj Casio G-Shock,33,1
Aire acondicionado Mitsubishi,52,5
Frigorífico Whirlpool,41,5
Bicicleta de montaña,98,5
Taladro Bosch,74,1
Guitarra Fender Stratocaster,41,9
Aire acondicionado Mitsubishi,63,6
Libro de cocina italiana,71,6
Cortadora de césped Honda,74,8
Guitarra Fender Stratocaster,28,4
Cámara Canon,27,7
GPU Nvidia,74,5
Bicicleta de montaña,96,9
Aire acondicionado Mitsubishi,24,7
Guitarra Fender Stratocaster,8,6
Despertador digital Philips,60,9
Silla ergonómica,66,8
Freidora de aire Philips,25,5
Taladro Bosch,34,10
Freidora de aire Philips,35,1
Tocadiscos clasico,21,7
Tensiometro,40,2
Barra de sonido Sony,21,7
Reloj Casio G-Shock,14,5
Frigorífico Whirlpool,24,5
Horno,90,9
Freidora de aire Philips,44,6
Batidora KitchenAid,26,9
Cortadora de césped Honda,50,1
Tensiometro,57,9
Freidora de aire Philips,43,5
Impresora HP,21,9
Patines en línea Rollerblade,61,9
Smartwatch Apple,38,6
Guitarra Fender Stratocaster,31,6
Lavadora Bosch,54,8
Libro de cocina italiana,44,7
Microondas Samsung,24,8
Freidora de aire Philips,31,3
Laptop Dell,34,2
Freidora de aire Philips,31,8
Taladro Bosch,51,1
Cafetera Nespresso,31,8
TV LG,4,5
Silla ergonómica,76,6
Cortadora de césped Honda,9,7
Tocadiscos clasico,2,10
Batidora KitchenAid,98,1
Audífonos Bose,74,6
Barra de sonido Sony,63,6
Frigorífico Whirlpool,53,8
Batidora KitchenAid,34,2
Aire acondicionado Mitsubishi,36,7
Frigorífico Whirlpool,7,10
Tensiometro,97,6
Pantalon Jean,54,2
Tensiometro,13,5
Licuadora Oster,30,4
Frigorífico Whirlpool,30,2
Freidora de aire Philips,77,5
Teclado mecánico Logitech,52,5
Patines en línea Rollerblade,94,10
Cámara de seguridad Ring,67,7
Horno,32,1
Altavoz inteligente Alexa,52,2
Microondas Samsung,14,4
Silla ergonómica,78,6
Bicicleta de montaña,19,1
Libro de cocina italiana,63,4
Microondas Samsung,42,9
Smartwatch Apple,36,8
Libro de cocina italiana,30,5
TV LG,71,1
Frigorífico Whirlpool,72,6
Pantalon Jean,94,1
Altavoz inteligente Alexa,28,8
Microondas Samsung,43,5
Reloj Casio G-Shock,7,5
Freidora de aire Philips,66,6
Reloj Casio G-Shock,93,4
Las aventuras de peter pan,18,2
Cámara Canon,62,5
Tocadiscos clasico,29,5
Aire acondicionado Mitsubishi,10,4
Silla ergonómica,45,9
Proyector Epson,13,10
Pantalon Jean,14,3
Consola Xbox Series X,14,1
Microondas Samsung,11,4
Taladro Bosch,52,9
Licuadora Oster,80,10
TV LG,10,6
Impresora HP,1,8
Laptop Dell,7,9
Audífonos Bose,91,4
Barra de sonido Sony,20,1
Impresora HP,8,2
Patines en línea Rollerblade,78,5
Frigorífico Whirlpool,89,2
Impresora HP,56,6
Despertador digital Philips,1,6
Cámara Canon,44,3
Despertador digital Philips,90,8
Laptop Dell,94,4
Tensiometro,77,4
Consola Xbox Series X,90,6
Tablet Samsung Galaxy,77,1
Laptop Dell,10,3
Licuadora Oster,88,6
Cámara de seguridad Ring,88,2
Teclado mecánico Logitech,15,9
Despertador digital Philips,68,3
Smartwatch Apple,95,8
Audífonos Bose,42,1
Horno,64,4
GPU Nvidia,53,4
GPU Nvidia,66,8
Microondas Samsung,54,3
Patines en línea Rollerblade,60,8
Altavoz inteligente Alexa,1,3
Altavoz inteligente Alexa,98,6
Proyector Epson,10,4
Consola Xbox Series X,58,1
Guitarra Fender Stratocaster,63,5
Pantalon Jean,84,3
Frigorífico Whirlpool,57,9
Bicicleta de montaña,43,10
Batidora KitchenAid,80,2
Altavoz inteligente Alexa,53,6
Licuadora Oster,39,1
Freidora de aire Philips,93,7
Taladro Bosch,59,6
Cámara de seguridad Ring,71,10
Licuadora Oster,67,10
Tocadiscos clasico,10,8
Cortadora de césped Honda,99,4
Audífonos Bose,95,3
Proyector Epson,80,6
Batidora KitchenAid,88,9
Cámara de seguridad Ring,23,1
Lavadora Bosch,4,7
Taladro Bosch,76,10
Taladro Bosch,2,5
Tocadiscos clasico,50,8
Laptop Dell,14,2
Cortadora de césped Honda,54,3
Proyector Epson,74,2
Licuadora Oster,32,8
Tensiometro,67,9
GPU Nvidia,45,7
Altavoz inteligente Alexa,24,2
Teclado mecánico Logitech,85,6
Barra de sonido Sony,88,9
Freidora de aire Philips,2,2
Microondas Samsung,25,7
Las aventuras de peter pan,22,2
Audífonos Bose,1,9
Tocadiscos clasico,29,3
Frigorífico Whirlpool,33,10
TV LG,32,8
Tensiometro,48,1
Bicicleta de montaña,15,5
Barra de sonido Sony,97,5
Horno,7,4
Microondas Samsung,87,4
Horno,83,4
Tocadiscos clasico,24,8
Horno,64,8
Cámara de seguridad Ring,95,10
Horno,54,5
Impresora HP,37,8
Libro de cocina italiana,77,9
Tablet Samsung Galaxy,69,8
Aire acondicionado Mitsubishi,62,7
Aire acondicionado Mitsubishi,10,10
Smartwatch Apple,39,6
Tablet Samsung Galaxy,84,5
Consola Xbox Series X,9,4
Smartwatch Apple,93,2
Despertador digital Philips,51,10
Microondas Samsung,63,6
Barra de sonido Sony,50,2
Proyector Epson,83,4
Pantalon Jean,71,3
Microondas Samsung,24,4
Patines en línea Rollerblade,63,3
Impresora HP,11,8
Proyector Epson,30,10
Despertador digital Philips,97,2
Audífonos Bose,70,7
Freidora de aire Philips,41,9
Pantalon Jean,86,1
GPU Nvidia,19,9
Las aventuras de peter pan,61,5
Taladro Bosch,89,1
Lavadora Bosch,39,7
Freidora de aire Philips,84,3
Impresora HP,10,4
GPU Nvidia,16,7
Taladro Bosch,70,8
Bicicleta de montaña,48,8
Microondas Samsung,86,3
Aire acondicionado Mitsubishi,77,6
Silla ergonómica,85,7
Router Wi-Fi TP-Link,75,4
Cortadora de césped Honda,6,7
Lavadora Bosch,48,7
Horno,73,3
Pantalon Jean,46,4
GPU Nvidia,60,10
TV LG,12,3
Freidora de aire Philips,27,1
Laptop Dell,85,1
Altavoz inteligente Alexa,31,6
Consola Xbox Series X,9,8
Cafetera Nespresso,32,10
Cámara Canon,61,4
Pantalon Jean,27,6
Taladro Bosch,14,4
Despertador digital Philips,14,9
Zapatos deportivos Nike,66,10
GPU Nvidia,48,8
Cámara de seguridad Ring,1,4
Patines en línea Rollerblade,25,6
Guitarra Fender Stratocaster,27,9
Iphone 7,14,10
Lavadora Bosch,1,5
Frigorífico Whirlpool,91,2
Cámara de seguridad Ring,58,10
Proyector Epson,14,8
Taladro Bosch,93,5
Teclado mecánico Logitech,67,2
Bicicleta de montaña,26,2
Patines en línea Rollerblade,20,8
Cámara Canon,76,5
Freidora de aire Philips,63,6
"Monitor ASUS 27""",34,5
Licuadora Oster,9,10
Proyector Epson,82,5
Consola Xbox Series X,82,6
Reloj Casio G-Shock,63,3
Despertador digital Philips,17,5
Consola Xbox Series X,77,9
GPU Nvidia,28,6
Guitarra Fender Stratocaster,46,8
Reloj Casio G-Shock,10,9
Proyector Epson,14,8
Audífonos Bose,34,10
Guitarra Fender Stratocaster,81,2
"Monitor ASUS 27""",2,3
Patines en línea Rollerblade,28,1
Cámara de seguridad Ring,3,6
Barra de sonido Sony,41,10
Lavadora Bosch,85,10
Tablet Samsung Galaxy,81,1
Altavoz inteligente Alexa,57,6
Freidora de aire Philips,91,8
Taladro Bosch,29,9
Taladro Bosch,50,3
Zapatos deportivos Nike,71,1
Tensiometro,88,10
Proyector Epson,99,7
Reloj Casio G-Shock,73,10
Zapatos deportivos Nike,10,6
Cafetera Nespresso,26,5
Consola Xbox Series X,35,3
Proyector Epson,80,10
Aire acondicionado Mitsubishi,59,5
Libro de cocina italiana,8,2
Tablet Samsung Galaxy,50,4
Router Wi-Fi TP-Link,73,6
Bicicleta de montaña,8,1
Router Wi-Fi TP-Link,60,1
Las aventuras de peter pan,39,5
Iphone 7,67,8
Teclado mecánico Logitech,10,7
GPU Nvidia,52,1
Bicicleta de montaña,23,9
Guitarra Fender Stratocaster,36,3
Horno,20,7
Impresora HP,4,10
Cámara Canon,80,3
Smartwatch Apple,43,3
Cafetera Nespresso,63,9
Cámara de seguridad Ring,34,4
Bicicleta de montaña,84,1
Bicicleta de montaña,7,2
GPU Nvidia,66,6
Cafetera Nespresso,8,9
Libro de cocina italiana,55,10
Lavadora Bosch,93,10
Patines en línea Rollerblade,33,4
Patines en línea Rollerblade,37,2
Audífonos Bose,77,8
Tablet Samsung Galaxy,76,4
Libro de cocina italiana,68,2
Pantalon Jean,34,2
Router Wi-Fi TP-Link,40,4
